provider_key,provider_id,npi,provider_name,specialty,provider_type,network_status,region_key,effective_start_date,effective_end_date,is_current,is_synthetic_outlier
1,e8458e55-5bc1-45f9-ad31-0b6934cab6ba,1106225461,Brian Smith,Pain Management,Group,In Network,3,2025-01-01,,1,1
2,d509368e-7c7f-432c-a696-270ba2566af7,9501338766,Cynthia Clark,Internal Medicine,Group,Out of Network,3,2025-01-01,,1,1
3,394ded58-8a21-472a-98b8-4dfff23ce313,0465950046,Joanna Schultz,Internal Medicine,Physician,In Network,2,2025-01-01,,1,1
4,eb876faa-c22f-4378-ad5e-5cbe805a979f,1454942088,Brian Sanchez,Family Medicine,DME Supplier,Out of Network,2,2025-01-01,,1,0
5,8d0b6928-b8cb-40d3-bf26-9d140220fc2f,2748743162,David Scott,Family Medicine,Clinic,Out of Network,3,2025-01-01,,1,0
6,3b0e6c2e-623c-4033-a786-20633e930178,3154044207,Gregory Montoya,Pain Management,Group,In Network,4,2025-01-01,,1,0
7,7ef6f3a4-919e-4706-81d8-5ec6de7b4b6a,4153321688,Lacey Lewis,Psychiatry,Physician,In Network,4,2025-01-01,,1,0
8,d21a91bb-5f2a-4c0c-8181-994887635f6b,0971535288,James Best,Internal Medicine,Physician,Out of Network,3,2025-01-01,,1,0
9,661ab129-03b9-4394-b472-1b57c1a146ad,3613833086,Brittany Williams,Internal Medicine,Group,Out of Network,2,2025-01-01,,1,0
10,5d2509b4-56c3-4839-be6c-59c30589bb66,2757489368,Luis Schmidt,Pain Management,Clinic,In Network,3,2025-01-01,,1,0
11,ceba18f0-54eb-45e2-b2b1-e868a41cb932,0711582963,Kimberly Williams,Pain Management,Physician,Out of Network,1,2025-01-01,,1,0
12,2483ef8f-1881-4749-9a89-e68cb5004438,3220765224,John Byrd,Cardiology,Physician,In Network,3,2025-01-01,,1,0
13,38688121-9aca-4dcb-b443-d2d5c2ffa95c,6117210966,Mr. Brady Collins,Orthopedics,DME Supplier,In Network,5,2025-01-01,,1,0
14,2328d34a-e691-4ccd-83da-f3a01ab57cf7,2544780012,Jennifer Peterson,Internal Medicine,Physician,Out of Network,1,2025-01-01,,1,0
15,36d8ea69-a4b7-46f4-be69-421bead0d8de,2544749134,Sandra Ramirez,Orthopedics,Physician,In Network,4,2025-01-01,,1,0
16,86f46659-01d8-4e1c-be9e-874cb794d9e9,6688598825,David Gonzalez,Family Medicine,Physician,Out of Network,2,2025-01-01,,1,0
17,97761c6d-eb5f-441d-852f-59672d3daf98,0381532982,Jeffrey Turner,Psychiatry,Clinic,In Network,4,2025-01-01,,1,0
18,b2074cd8-cb30-4228-a575-5954cd31cb09,0807635726,Aaron Brown,Cardiology,Physician,In Network,2,2025-01-01,,1,0
19,8a24a919-2ea1-4080-ae00-05e1585fe6b6,8628305916,Marissa Baker,Family Medicine,Clinic,Out of Network,4,2025-01-01,,1,0
20,1e72fc78-1f1c-40a9-a4b9-5d092380f766,0507735103,James Wright,Psychiatry,Clinic,In Network,2,2025-01-01,,1,0
21,21ce56f2-a849-4458-8a68-8a3063d5ed91,0409255460,Hannah Wallace,Internal Medicine,Clinic,In Network,3,2025-01-01,,1,0
22,4cd6afc7-78d2-47de-bb0a-021d4d13f758,9315082027,Aaron Stewart,Pain Management,Physician,In Network,3,2025-01-01,,1,0
23,d1c607d0-4655-46ba-854e-b616ed8d68d8,0435741751,Ryan Mccarty,Orthopedics,Group,In Network,4,2025-01-01,,1,0
24,7d2e0b11-7c36-4fd7-94ed-5b13aa0c6f61,9189843453,Gregory Miller,Psychiatry,DME Supplier,In Network,5,2025-01-01,,1,0
25,5218ef28-1830-4675-b4fc-58e599efeb00,2577251148,Mitchell Allen,Pain Management,Clinic,Out of Network,5,2025-01-01,,1,0
26,5ed34d55-4abc-4776-9317-a4c6745a8edf,0554269635,Danielle Smith,Psychiatry,Physician,In Network,1,2025-01-01,,1,0
27,d1ce5ef9-2765-4116-87eb-4a671f8da3e9,3888053163,Mr. Jason Murphy,Family Medicine,DME Supplier,Out of Network,5,2025-01-01,,1,0
28,e612ed5a-161f-4649-89ba-3a05e970a552,8691082904,Christina Alvarado,Family Medicine,Physician,In Network,2,2025-01-01,,1,0
29,bc7b7ddc-61b1-451b-8f72-df307ebcd40d,9506801092,Allison Davis,Cardiology,Physician,In Network,5,2025-01-01,,1,0
30,70e31cd6-bf3e-41bd-862d-4e0ff3d43f67,0881792909,Patricia Gonzalez,Pain Management,Clinic,In Network,5,2025-01-01,,1,0
31,a0dc3c2f-8aae-4d39-8726-f77158e828b2,8017440008,Jacqueline Kelley,Psychiatry,Physician,Out of Network,4,2025-01-01,,1,0
32,8f3b6eca-01dc-4cb8-abee-fe8c53af2bcb,0458863115,Sean Olsen,Psychiatry,DME Supplier,In Network,3,2025-01-01,,1,0
33,295e2afa-0114-49f3-86cb-d9f6f2a1c8c7,9349279065,Catherine Hogan,Internal Medicine,Physician,In Network,5,2025-01-01,,1,0
34,924db43f-e500-4c4f-994a-50022793cc50,9190486072,Keith Reed,Psychiatry,Physician,In Network,5,2025-01-01,,1,0
35,4a96b41a-4bd3-4526-b14f-02544d358ccc,7387967617,Tracie Wilkins,Family Medicine,DME Supplier,In Network,1,2025-01-01,,1,0
36,3957ef1f-7594-45c2-9bc4-a63f8d6f7a02,7517249499,Samantha Stephens,Orthopedics,Group,Out of Network,2,2025-01-01,,1,0
37,08ca8bb2-6c8c-4740-913f-fb159dffb5bd,5186456152,Vanessa Freeman,Cardiology,Clinic,Out of Network,1,2025-01-01,,1,0
38,927e490a-401f-4372-b839-9d4a295a9d60,6629728536,David Luna,Family Medicine,Clinic,In Network,2,2025-01-01,,1,0
39,d1799d02-60cc-4fbf-bb02-7a6e5e9b22d4,1672571217,Mrs. Kathleen Fisher PhD,Orthopedics,Clinic,Out of Network,1,2025-01-01,,1,0
40,dfbaaad5-ebcc-40ec-87cf-6b4e9a39a185,4910085168,Anthony Roth,Pain Management,DME Supplier,In Network,4,2025-01-01,,1,0
